[*] 10.10.10.165:22 - SSH - Using malformed packet technique
[*] 10.10.10.165:22 - SSH - Starting scan
[+] 10.10.10.165:22 - SSH - User 'root' found
[+] 10.10.10.165:22 - SSH - User 'admin' found
[+] 10.10.10.165:22 - SSH - User 'test' found
[+] 10.10.10.165:22 - SSH - User 'guest' found
[+] 10.10.10.165:22 - SSH - User 'info' found
[+] 10.10.10.165:22 - SSH - User 'adm' found
[+] 10.10.10.165:22 - SSH - User 'mysql' found
[+] 10.10.10.165:22 - SSH - User 'user' found
[+] 10.10.10.165:22 - SSH - User 'administrator' found
[+] 10.10.10.165:22 - SSH - User 'oracle' found
[+] 10.10.10.165:22 - SSH - User 'ftp' found
[+] 10.10.10.165:22 - SSH - User 'pi' found
[+] 10.10.10.165:22 - SSH - User 'puppet' found
[+] 10.10.10.165:22 - SSH - User 'ansible' found
[+] 10.10.10.165:22 - SSH - User 'ec2-user' found
[+] 10.10.10.165:22 - SSH - User 'vagrant' found
[+] 10.10.10.165:22 - SSH - User 'azureuser' found

